model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.5973893310633667,root_mean_squared_error,0.33074378967285156,127.5473198890686,0.0003521442413330078,0.0048444271087646484,2,True,10
LightGBMXT_BAG_L1,-0.6075218811632334,root_mean_squared_error,0.008154630661010742,15.119785785675049,0.008154630661010742,15.119785785675049,1,True,1
CatBoost_BAG_L1,-0.6087087752014609,root_mean_squared_error,0.020390748977661133,20.45955491065979,0.020390748977661133,20.45955491065979,1,True,4
LightGBM_BAG_L1,-0.6139716535526776,root_mean_squared_error,0.00808262825012207,15.865946054458618,0.00808262825012207,15.865946054458618,1,True,2
NeuralNetTorch_BAG_L1,-0.6173752334416608,root_mean_squared_error,0.23344945907592773,53.017468214035034,0.23344945907592773,53.017468214035034,1,True,8
XGBoost_BAG_L1,-0.622138844151534,root_mean_squared_error,0.07326006889343262,17.748220920562744,0.07326006889343262,17.748220920562744,1,True,7
RandomForestMSE_BAG_L1,-0.6223858319108545,root_mean_squared_error,1.2267460823059082,16.60549306869507,1.2267460823059082,16.60549306869507,1,True,3
ExtraTreesMSE_BAG_L1,-0.6239517161355707,root_mean_squared_error,1.4392640590667725,3.150282621383667,1.4392640590667725,3.150282621383667,1,True,5
LightGBMLarge_BAG_L1,-0.6334207733631951,root_mean_squared_error,0.034829139709472656,64.82226753234863,0.034829139709472656,64.82226753234863,1,True,9
NeuralNetFastAI_BAG_L1,-0.6463485908984885,root_mean_squared_error,0.060314178466796875,23.079720497131348,0.060314178466796875,23.079720497131348,1,True,6
